sector_name,subsector_name,series_id,series_name,year,country_name,country_value,income_group_name,income_group_average,subregion_name,region_name,region_average
Trade and Investment,Trade and Investment Statistics,1647,"Trade in services, exports: Total services ($US millions)",2013,Guinea,103.53,Lower Middle Income Country (World Bank Classification),6172.4797293518518518518518518519,West Africa,Sub-Saharan Africa,1229.4910243191489361702127659574
Trade and Investment,Trade and Investment Statistics,1647,"Trade in services, exports: Total services ($US millions)",2014,Guinea,63.75,Lower Middle Income Country (World Bank Classification),6389.64496296296296296296,West Africa,Sub-Saharan Africa,1233.7254454583333333333333333333
Trade and Investment,Trade and Investment Statistics,1647,"Trade in services, exports: Total services ($US millions)",2015,Guinea,78.448,Lower Middle Income Country (World Bank Classification),6392.7106288333333333333333333333,West Africa,Sub-Saharan Africa,1259.0134245416666666666666666667
Trade and Investment,Trade and Investment Statistics,1647,"Trade in services, exports: Total services ($US millions)",2016,Guinea,52.931,Lower Middle Income Country (World Bank Classification),6448.6300314444444444444444444444,West Africa,Sub-Saharan Africa,1236.5313244166666666666666666667
Trade and Investment,Trade and Investment Statistics,1647,"Trade in services, exports: Total services ($US millions)",2017,Guinea,52.36,Lower Middle Income Country (World Bank Classification),7276.0971172222222222222222222222,West Africa,Sub-Saharan Africa,1390.8127437916666666666666666667
Trade and Investment,Trade and Investment Statistics,1647,"Trade in services, exports: Total services ($US millions)",2018,Guinea,101.01,Lower Middle Income Country (World Bank Classification),8168.7791505094339622641509433962,West Africa,Sub-Saharan Africa,1523.0373662765957446808510638298
Trade and Investment,Trade and Investment Statistics,1647,"Trade in services, exports: Total services ($US millions)",2019,Guinea,95.38,Lower Middle Income Country (World Bank Classification),8642.70718867924528301887,West Africa,Sub-Saharan Africa,1536.2440870208333333333333333333
Trade and Investment,Trade and Investment Statistics,1647,"Trade in services, exports: Total services ($US millions)",2020,Guinea,64.83,Lower Middle Income Country (World Bank Classification),6713.2868754716981132075471698113,West Africa,Sub-Saharan Africa,1011.241807
Trade and Investment,Trade and Investment Statistics,1647,"Trade in services, exports: Total services ($US millions)",2021,Guinea,27.02,Lower Middle Income Country (World Bank Classification),7925.7009280576923076923076923077,West Africa,Sub-Saharan Africa,1247.9005243333333333333333333333
Trade and Investment,Trade and Investment Statistics,1647,"Trade in services, exports: Total services ($US millions)",2022,Guinea,145.682,Lower Middle Income Country (World Bank Classification),10527.03205,West Africa,Sub-Saharan Africa,1576.8832232790697674418604651163
Education,Primary Education,1780,"Gross enrolment ratio, pre-primary, both sexes (percentage)",2011,Guinea,15.44673,Lower Middle Income Country (World Bank Classification),43.955256394736842105263157894737,West Africa,Sub-Saharan Africa,26.6628641351351351351351
Education,Primary Education,1780,"Gross enrolment ratio, pre-primary, both sexes (percentage)",2012,Guinea,18.360508,Lower Middle Income Country (World Bank Classification),45.423191631578947368421052631579,West Africa,Sub-Saharan Africa,28.8590725882352941176471
Education,Primary Education,1780,"Gross enrolment ratio, pre-primary, both sexes (percentage)",2013,Guinea,20.341676,Lower Middle Income Country (World Bank Classification),44.061951756097560975609756097561,West Africa,Sub-Saharan Africa,28.8222996363636363636364
Education,Primary Education,1780,"Gross enrolment ratio, pre-primary, both sexes (percentage)",2014,Guinea,21.685392,Lower Middle Income Country (World Bank Classification),46.403016902439024390243902439024,West Africa,Sub-Saharan Africa,35.247189970588235294117647058824
Education,Primary Education,1780,"Gross enrolment ratio, pre-primary, both sexes (percentage)",2015,Guinea,14.445055,Lower Middle Income Country (World Bank Classification),45.766886609756097560975609756098,West Africa,Sub-Saharan Africa,35.270739307692307692307692307692
Education,Primary Education,1780,"Gross enrolment ratio, pre-primary, both sexes (percentage)",2018,Guinea,17.588905,Lower Middle Income Country (World Bank Classification),48.83038735,West Africa,Sub-Saharan Africa,33.309188352941176470588235294118
Education,Primary Education,1780,"Gross enrolment ratio, pre-primary, both sexes (percentage)",2020,Guinea,17.616159,Lower Middle Income Country (World Bank Classification),55.433766466666666666666666666667,West Africa,Sub-Saharan Africa,39.7563420869565217391304
Education,Primary Education,1780,"Gross enrolment ratio, pre-primary, both sexes (percentage)",2021,Guinea,19.657522,Lower Middle Income Country (World Bank Classification),51.831751321428571428571428571429,West Africa,Sub-Saharan Africa,37.3433492727272727272727
Education,Primary Education,1780,"Gross enrolment ratio, pre-primary, both sexes (percentage)",2019,Guinea,16.883983,Lower Middle Income Country (World Bank Classification),52.6046397142857142857143,West Africa,Sub-Saharan Africa,36.211795586206896551724137931034
Education,Primary Education,1780,"Gross enrolment ratio, pre-primary, both sexes (percentage)",2016,Guinea,22.28088,Lower Middle Income Country (World Bank Classification),45.650026840909090909090909090909,West Africa,Sub-Saharan Africa,36.747711083333333333333333333333
Health,Disease and Prevention,5325,"Nurses and midwives (per 1,000 people)",2014,Guinea,0.564,Lower Middle Income Country (World Bank Classification),2.12566764705882352941176,West Africa,Sub-Saharan Africa,1.032092
Health,Disease and Prevention,5325,"Nurses and midwives (per 1,000 people)",2015,Guinea,0.4168,Lower Middle Income Country (World Bank Classification),1.37301071428571428571429,West Africa,Sub-Saharan Africa,1.04991034482758620689655
Health,Disease and Prevention,5325,"Nurses and midwives (per 1,000 people)",2016,Guinea,0.1238,Lower Middle Income Country (World Bank Classification),1.41956296296296296296296,West Africa,Sub-Saharan Africa,1.501321428571429
Health,Disease and Prevention,5325,"Nurses and midwives (per 1,000 people)",2018,Guinea,0.5796,Lower Middle Income Country (World Bank Classification),1.7609,West Africa,Sub-Saharan Africa,1.39536279069767441860465
Health,Disease and Prevention,5337,"Physicians (per 1,000 people)",2014,Guinea,0.1654,Lower Middle Income Country (World Bank Classification),1.00371071428571428571429,West Africa,Sub-Saharan Africa,0.2135444444444444
Health,Disease and Prevention,5337,"Physicians (per 1,000 people)",2015,Guinea,0.0855,Lower Middle Income Country (World Bank Classification),0.876271428571428571428571,West Africa,Sub-Saharan Africa,0.2420681818181818
Health,Disease and Prevention,5337,"Physicians (per 1,000 people)",2016,Guinea,0.0832,Lower Middle Income Country (World Bank Classification),0.699466666666666666666667,West Africa,Sub-Saharan Africa,0.3543333333333333
Health,Disease and Prevention,5337,"Physicians (per 1,000 people)",2018,Guinea,0.2245,Lower Middle Income Country (World Bank Classification),0.667215151515151515151515,West Africa,Sub-Saharan Africa,0.3121395348837209
Health,"Maternal, Newborn and Child Health",5383,"Fertility rate, total (births per woman)",2011,Guinea,5.296,Lower Middle Income Country (World Bank Classification),3.58427777777777777777778,West Africa,Sub-Saharan Africa,4.86842857142857142857143
Health,"Maternal, Newborn and Child Health",5383,"Fertility rate, total (births per woman)",2012,Guinea,5.195,Lower Middle Income Country (World Bank Classification),3.54383333333333333333333,West Africa,Sub-Saharan Africa,4.800204081632653
Health,"Maternal, Newborn and Child Health",5383,"Fertility rate, total (births per woman)",2013,Guinea,5.116,Lower Middle Income Country (World Bank Classification),3.50659259259259259259259,West Africa,Sub-Saharan Africa,4.72951020408163265306122
Health,"Maternal, Newborn and Child Health",5383,"Fertility rate, total (births per woman)",2014,Guinea,5.049,Lower Middle Income Country (World Bank Classification),3.464814814814815,West Africa,Sub-Saharan Africa,4.65769387755102040816327
Health,"Maternal, Newborn and Child Health",5383,"Fertility rate, total (births per woman)",2015,Guinea,5.022,Lower Middle Income Country (World Bank Classification),3.41887037037037037037037,West Africa,Sub-Saharan Africa,4.5910816326530612244898
Health,"Maternal, Newborn and Child Health",5383,"Fertility rate, total (births per woman)",2016,Guinea,4.926,Lower Middle Income Country (World Bank Classification),3.36109259259259259259259,West Africa,Sub-Saharan Africa,4.52644897959183673469388
Health,"Maternal, Newborn and Child Health",5383,"Fertility rate, total (births per woman)",2017,Guinea,4.789,Lower Middle Income Country (World Bank Classification),3.30287037037037037037037,West Africa,Sub-Saharan Africa,4.45879591836734693877551
Health,"Maternal, Newborn and Child Health",5383,"Fertility rate, total (births per woman)",2018,Guinea,4.669,Lower Middle Income Country (World Bank Classification),3.258888888888889,West Africa,Sub-Saharan Africa,4.39365306122448979591837
Health,"Maternal, Newborn and Child Health",5383,"Fertility rate, total (births per woman)",2019,Guinea,4.576,Lower Middle Income Country (World Bank Classification),3.209814814814815,West Africa,Sub-Saharan Africa,4.32863265306122448979592
Health,"Maternal, Newborn and Child Health",5383,"Fertility rate, total (births per woman)",2020,Guinea,4.489,Lower Middle Income Country (World Bank Classification),3.16062962962962962962963,West Africa,Sub-Saharan Africa,4.26106122448979591836735
Health,"Maternal, Newborn and Child Health",5383,"Fertility rate, total (births per woman)",2021,Guinea,4.399,Lower Middle Income Country (World Bank Classification),3.117592592592593,West Africa,Sub-Saharan Africa,4.19869387755102040816327
Education,General Education,5393,"Government expenditure on education, total (percentage of government expenditure)",2012,Guinea,9.46061,Lower Middle Income Country (World Bank Classification),15.9050526938775510204082,West Africa,Sub-Saharan Africa,16.4513796976744186046512
Education,General Education,5393,"Government expenditure on education, total (percentage of government expenditure)",2013,Guinea,14.13281,Lower Middle Income Country (World Bank Classification),16.2539916956521739130435,West Africa,Sub-Saharan Africa,16.0135018181818181818182
Education,General Education,5393,"Government expenditure on education, total (percentage of government expenditure)",2014,Guinea,11.98951,Lower Middle Income Country (World Bank Classification),16.1190408541666666666667,West Africa,Sub-Saharan Africa,16.1853135909090909090909
Education,General Education,5393,"Government expenditure on education, total (percentage of government expenditure)",2015,Guinea,11.59878,Lower Middle Income Country (World Bank Classification),15.2937790188679245283019,West Africa,Sub-Saharan Africa,15.4736420869565217391304
Education,General Education,5393,"Government expenditure on education, total (percentage of government expenditure)",2016,Guinea,15.76886,Lower Middle Income Country (World Bank Classification),15.6724163673469387755102,West Africa,Sub-Saharan Africa,14.7979458181818181818182
Education,General Education,5393,"Government expenditure on education, total (percentage of government expenditure)",2017,Guinea,13.37679,Lower Middle Income Country (World Bank Classification),15.93183606,West Africa,Sub-Saharan Africa,15.9312147272727272727273
Education,General Education,5393,"Government expenditure on education, total (percentage of government expenditure)",2018,Guinea,14.87012,Lower Middle Income Country (World Bank Classification),16.1434801836734693877551,West Africa,Sub-Saharan Africa,15.8524814523809523809524
Education,General Education,5393,"Government expenditure on education, total (percentage of government expenditure)",2019,Guinea,12.40536,Lower Middle Income Country (World Bank Classification),15.2039362916666666666667,West Africa,Sub-Saharan Africa,15.4990398717948717948718
Education,General Education,5393,"Government expenditure on education, total (percentage of government expenditure)",2020,Guinea,14.29006,Lower Middle Income Country (World Bank Classification),14.9092549777777777777778,West Africa,Sub-Saharan Africa,14.5138862564102564102564
Education,General Education,5393,"Government expenditure on education, total (percentage of government expenditure)",2021,Guinea,11.97889,Lower Middle Income Country (World Bank Classification),14.7441965428571428571429,West Africa,Sub-Saharan Africa,14.5961127631578947368421
Education,General Education,5393,"Government expenditure on education, total (percentage of government expenditure)",2022,Guinea,10.199356,Lower Middle Income Country (World Bank Classification),14.6239615,West Africa,Sub-Saharan Africa,14.77683528
Gender,Education,5426,"Literacy rate, youth (ages 15-24), gender parity index (GPI)",2012,Guinea,0.519459,Lower Middle Income Country (World Bank Classification),0.911152210526315789473684,West Africa,Sub-Saharan Africa,0.8716235
Gender,Education,5426,"Literacy rate, youth (ages 15-24), gender parity index (GPI)",2014,Guinea,0.65315,Lower Middle Income Country (World Bank Classification),0.944680882352941176470588,West Africa,Sub-Saharan Africa,0.885494066666666666666667
Gender,Education,5426,"Literacy rate, youth (ages 15-24), gender parity index (GPI)",2018,Guinea,0.6242,Lower Middle Income Country (World Bank Classification),0.958957307692307692307692,West Africa,Sub-Saharan Africa,0.9185164
Gender,Education,5426,"Literacy rate, youth (ages 15-24), gender parity index (GPI)",2021,Guinea,0.68821,Lower Middle Income Country (World Bank Classification),0.978316,West Africa,Sub-Saharan Africa,0.958163103448275862068966
Environment and Global Climate Change,Water resources,5498,"Annual freshwater withdrawals, agriculture (percentage of total freshwater withdrawal)",2010,Guinea,61.556337,Lower Middle Income Country (World Bank Classification),70.21396019,West Africa,Sub-Saharan Africa,56.197823739130434782608695652174
Environment and Global Climate Change,Water resources,5498,"Annual freshwater withdrawals, agriculture (percentage of total freshwater withdrawal)",2011,Guinea,62.415513,Lower Middle Income Country (World Bank Classification),70.270327333333333333333333333333,West Africa,Sub-Saharan Africa,56.2834295652173913043478
Environment and Global Climate Change,Water resources,5498,"Annual freshwater withdrawals, agriculture (percentage of total freshwater withdrawal)",2012,Guinea,63.233231,Lower Middle Income Country (World Bank Classification),70.29484506,West Africa,Sub-Saharan Africa,56.803352770833333333333333333333
Environment and Global Climate Change,Water resources,5498,"Annual freshwater withdrawals, agriculture (percentage of total freshwater withdrawal)",2013,Guinea,64.012423,Lower Middle Income Country (World Bank Classification),70.42502944,West Africa,Sub-Saharan Africa,56.709117104166666666666666666667
Environment and Global Climate Change,Water resources,5498,"Annual freshwater withdrawals, agriculture (percentage of total freshwater withdrawal)",2014,Guinea,64.755748,Lower Middle Income Country (World Bank Classification),70.60304363,West Africa,Sub-Saharan Africa,56.59705806
Environment and Global Climate Change,Water resources,5498,"Annual freshwater withdrawals, agriculture (percentage of total freshwater withdrawal)",2015,Guinea,65.465626,Lower Middle Income Country (World Bank Classification),70.400742020833333333333333333333,West Africa,Sub-Saharan Africa,56.473350916666666666666666666667
Environment and Global Climate Change,Water resources,5498,"Annual freshwater withdrawals, agriculture (percentage of total freshwater withdrawal)",2016,Guinea,66.144266,Lower Middle Income Country (World Bank Classification),70.448654877551020408163265306122,West Africa,Sub-Saharan Africa,57.148979877551020408163265306122
Environment and Global Climate Change,Water resources,5498,"Annual freshwater withdrawals, agriculture (percentage of total freshwater withdrawal)",2017,Guinea,66.793685,Lower Middle Income Country (World Bank Classification),70.123749632653061224489795918367,West Africa,Sub-Saharan Africa,57.06254597959183673469387755102
Environment and Global Climate Change,Water resources,5498,"Annual freshwater withdrawals, agriculture (percentage of total freshwater withdrawal)",2018,Guinea,67.41573,Lower Middle Income Country (World Bank Classification),70.394576673469387755102040816327,West Africa,Sub-Saharan Africa,57.106057428571428571428571428571
Environment and Global Climate Change,Water resources,5498,"Annual freshwater withdrawals, agriculture (percentage of total freshwater withdrawal)",2019,Guinea,67.41573,Lower Middle Income Country (World Bank Classification),70.353316795918367346938775510204,West Africa,Sub-Saharan Africa,57.093562551020408163265306122449
Environment and Global Climate Change,Water resources,5498,"Annual freshwater withdrawals, agriculture (percentage of total freshwater withdrawal)",2020,Guinea,67.41573,Lower Middle Income Country (World Bank Classification),70.261041918367346938775510204082,West Africa,Sub-Saharan Africa,57.144143836734693877551020408163
Environment and Global Climate Change,Biodiversity,5513,"Fish species, threatened",2018,Guinea,76,Lower Middle Income Country (World Bank Classification),43.31481481481481,West Africa,Sub-Saharan Africa,42.59183673469388
Hunger and Food Security,Food Production,5541,Cereal yield (kg per hectare),2011,Guinea,1226,Lower Middle Income Country (World Bank Classification),2243.05576923076923076923,West Africa,Sub-Saharan Africa,1398.8782608695652173913
Hunger and Food Security,Food Production,5541,Cereal yield (kg per hectare),2012,Guinea,1152.2,Lower Middle Income Country (World Bank Classification),2229.13269230769230769231,West Africa,Sub-Saharan Africa,1425.22978723404255319149
Hunger and Food Security,Food Production,5541,Cereal yield (kg per hectare),2013,Guinea,1189.6,Lower Middle Income Country (World Bank Classification),2306.94423076923076923077,West Africa,Sub-Saharan Africa,1395.1680851063829787234
Hunger and Food Security,Food Production,5541,Cereal yield (kg per hectare),2014,Guinea,1123,Lower Middle Income Country (World Bank Classification),2358.62115384615384615385,West Africa,Sub-Saharan Africa,1439.18510638297872340426
Hunger and Food Security,Food Production,5541,Cereal yield (kg per hectare),2015,Guinea,1122.4,Lower Middle Income Country (World Bank Classification),2354.74615384615384615385,West Africa,Sub-Saharan Africa,1367.4659574468085106383
Hunger and Food Security,Food Production,5541,Cereal yield (kg per hectare),2016,Guinea,1155.5,Lower Middle Income Country (World Bank Classification),2347.03076923076923076923,West Africa,Sub-Saharan Africa,1341.57872340425531914894
Hunger and Food Security,Food Production,5541,Cereal yield (kg per hectare),2017,Guinea,1165.4,Lower Middle Income Country (World Bank Classification),2352.68461538461538461538,West Africa,Sub-Saharan Africa,1458.12127659574468085106
Hunger and Food Security,Food Production,5541,Cereal yield (kg per hectare),2018,Guinea,1186.7,Lower Middle Income Country (World Bank Classification),2420.18653846153846153846,West Africa,Sub-Saharan Africa,1461.31702127659574468085
Hunger and Food Security,Food Production,5541,Cereal yield (kg per hectare),2019,Guinea,1257.9,Lower Middle Income Country (World Bank Classification),2439.00961538461538461538,West Africa,Sub-Saharan Africa,1501.27234042553191489362
Hunger and Food Security,Food Production,5541,Cereal yield (kg per hectare),2020,Guinea,1323.7,Lower Middle Income Country (World Bank Classification),2433.50384615384615384615,West Africa,Sub-Saharan Africa,1593.89574468085106382979
Hunger and Food Security,Food Production,5541,Cereal yield (kg per hectare),2021,Guinea,1344.9,Lower Middle Income Country (World Bank Classification),2498.68653846153846153846,West Africa,Sub-Saharan Africa,1631.79574468085106382979
Environment and Global Climate Change,Land resources,5544,Forest area (sq. km),2011,Guinea,65330,Lower Middle Income Country (World Bank Classification),111847.905555555555555556,West Africa,Sub-Saharan Africa,138075.547083333333333333
Environment and Global Climate Change,Land resources,5544,Forest area (sq. km),2012,Guinea,64970,Lower Middle Income Country (World Bank Classification),111443.89124074074074074074074074,West Africa,Sub-Saharan Africa,134458.782040816326530612
Environment and Global Climate Change,Land resources,5544,Forest area (sq. km),2013,Guinea,64610,Lower Middle Income Country (World Bank Classification),111039.87692592592592592592592593,West Africa,Sub-Saharan Africa,133659.885306122448979592
Environment and Global Climate Change,Land resources,5544,Forest area (sq. km),2014,Guinea,64250,Lower Middle Income Country (World Bank Classification),110635.86262962962962962962962963,West Africa,Sub-Saharan Africa,132860.988571428571428571
Environment and Global Climate Change,Land resources,5544,Forest area (sq. km),2015,Guinea,63890,Lower Middle Income Country (World Bank Classification),110231.84831481481481481481481481,West Africa,Sub-Saharan Africa,132062.091836734693877551
Environment and Global Climate Change,Land resources,5544,Forest area (sq. km),2016,Guinea,63490,Lower Middle Income Country (World Bank Classification),109868.69590740740740740740740741,West Africa,Sub-Saharan Africa,131242.71181632653061224489795918
Environment and Global Climate Change,Land resources,5544,Forest area (sq. km),2017,Guinea,63090,Lower Middle Income Country (World Bank Classification),109461.44633333333333333333333333,West Africa,Sub-Saharan Africa,130440.110204081632653061
Environment and Global Climate Change,Land resources,5544,Forest area (sq. km),2018,Guinea,62690,Lower Middle Income Country (World Bank Classification),109057.203703703703703704,West Africa,Sub-Saharan Africa,129638.158775510204081633
Environment and Global Climate Change,Land resources,5544,Forest area (sq. km),2019,Guinea,62290,Lower Middle Income Country (World Bank Classification),108655.342592592592592593,West Africa,Sub-Saharan Africa,128815.373469387755102041
Environment and Global Climate Change,Land resources,5544,Forest area (sq. km),2020,Guinea,61890,Lower Middle Income Country (World Bank Classification),108255.759259259259259259,West Africa,Sub-Saharan Africa,128000.687755102040816327
Environment and Global Climate Change,Land resources,5544,Forest area (sq. km),2021,Guinea,61490,Lower Middle Income Country (World Bank Classification),107854.65738888888888888888888889,West Africa,Sub-Saharan Africa,127180.60228571428571428571428571
Gender,Employment,5713,"Employment in industry, female (percentage of female employment) (modeled ILO estimate)",2011,Guinea,1.805354,Lower Middle Income Country (World Bank Classification),11.8574771923076923076923,West Africa,Sub-Saharan Africa,8.64733958333333333333333
Gender,Employment,5713,"Employment in industry, female (percentage of female employment) (modeled ILO estimate)",2012,Guinea,1.816615,Lower Middle Income Country (World Bank Classification),11.9791910961538461538462,West Africa,Sub-Saharan Africa,8.69750079166666666666667
Gender,Employment,5713,"Employment in industry, female (percentage of female employment) (modeled ILO estimate)",2013,Guinea,1.859363,Lower Middle Income Country (World Bank Classification),12.1277280769230769230769,West Africa,Sub-Saharan Africa,8.746668813
Gender,Employment,5713,"Employment in industry, female (percentage of female employment) (modeled ILO estimate)",2014,Guinea,1.85672,Lower Middle Income Country (World Bank Classification),12.5061001923076923076923,West Africa,Sub-Saharan Africa,8.95773716666666666666667
Gender,Employment,5713,"Employment in industry, female (percentage of female employment) (modeled ILO estimate)",2015,Guinea,1.889749,Lower Middle Income Country (World Bank Classification),12.6622349230769230769231,West Africa,Sub-Saharan Africa,9.2360865
Gender,Employment,5713,"Employment in industry, female (percentage of female employment) (modeled ILO estimate)",2016,Guinea,1.894849,Lower Middle Income Country (World Bank Classification),12.8066901153846153846154,West Africa,Sub-Saharan Africa,9.263972313
Gender,Employment,5713,"Employment in industry, female (percentage of female employment) (modeled ILO estimate)",2017,Guinea,1.945599,Lower Middle Income Country (World Bank Classification),13.0117638076923076923077,West Africa,Sub-Saharan Africa,9.45170441666666666666667
Gender,Employment,5713,"Employment in industry, female (percentage of female employment) (modeled ILO estimate)",2018,Guinea,1.990393,Lower Middle Income Country (World Bank Classification),13.0886629615384615384615,West Africa,Sub-Saharan Africa,9.517759688
Gender,Employment,5713,"Employment in industry, female (percentage of female employment) (modeled ILO estimate)",2019,Guinea,2.005968,Lower Middle Income Country (World Bank Classification),13.1852719615384615384615,West Africa,Sub-Saharan Africa,9.665227375
Gender,Employment,5713,"Employment in industry, female (percentage of female employment) (modeled ILO estimate)",2020,Guinea,2.072283,Lower Middle Income Country (World Bank Classification),13.3810132884615384615385,West Africa,Sub-Saharan Africa,9.930051063
Gender,Employment,5713,"Employment in industry, female (percentage of female employment) (modeled ILO estimate)",2021,Guinea,2.092354,Lower Middle Income Country (World Bank Classification),13.3414297058823529411765,West Africa,Sub-Saharan Africa,9.99857204166666666666667
Economy,Economic Growth,5733,"Inflation, GDP deflator (annual percent)",2012,Guinea,11.515971,Lower Middle Income Country (World Bank Classification),6.99822307547169811320755,West Africa,Sub-Saharan Africa,8.18446945652173913043478
Economy,Economic Growth,5733,"Inflation, GDP deflator (annual percent)",2013,Guinea,4.329352,Lower Middle Income Country (World Bank Classification),6.31565650943396226415094,West Africa,Sub-Saharan Africa,6.581636
Economy,Economic Growth,5733,"Inflation, GDP deflator (annual percent)",2014,Guinea,2.615897,Lower Middle Income Country (World Bank Classification),4.4816847962962962962963,West Africa,Sub-Saharan Africa,4.00802104166666666666667
Economy,Economic Growth,5733,"Inflation, GDP deflator (annual percent)",2015,Guinea,2.972289,Lower Middle Income Country (World Bank Classification),3.5453217962962962962963,West Africa,Sub-Saharan Africa,3.74137485416666666666667
Economy,Economic Growth,5733,"Inflation, GDP deflator (annual percent)",2016,Guinea,5.668948,Lower Middle Income Country (World Bank Classification),5.09568601851851851851852,West Africa,Sub-Saharan Africa,5.27238634042553191489362
Economy,Economic Growth,5733,"Inflation, GDP deflator (annual percent)",2017,Guinea,10.356502,Lower Middle Income Country (World Bank Classification),6.11366057407407407407407,West Africa,Sub-Saharan Africa,6.24077855319148936170213
Economy,Economic Growth,5733,"Inflation, GDP deflator (annual percent)",2018,Guinea,7.059084,Lower Middle Income Country (World Bank Classification),10.0690886666666666666667,West Africa,Sub-Saharan Africa,10.7498307872340425531915
Economy,Economic Growth,5733,"Inflation, GDP deflator (annual percent)",2019,Guinea,9.402908,Lower Middle Income Country (World Bank Classification),9.12546257407407407407407,West Africa,Sub-Saharan Africa,9.38270682978723404255319
Economy,Economic Growth,5733,"Inflation, GDP deflator (annual percent)",2020,Guinea,4.693938,Lower Middle Income Country (World Bank Classification),16.8522588888888888888889,West Africa,Sub-Saharan Africa,18.4677366382978723404255
Economy,Economic Growth,5733,"Inflation, GDP deflator (annual percent)",2021,Guinea,11.5,Lower Middle Income Country (World Bank Classification),14.0419805555555555555556,West Africa,Sub-Saharan Africa,14.8133461276595744680851
Economy,Economic Growth,5733,"Inflation, GDP deflator (annual percent)",2022,Guinea,12.2,Lower Middle Income Country (World Bank Classification),14.8714063846153846153846,West Africa,Sub-Saharan Africa,15.505824148936170212766
Economy,Business Environment,5736,"Automated teller machines (ATMs) (per 100,000 adults)",2011,Guinea,1.01,Lower Middle Income Country (World Bank Classification),14.896875,West Africa,Sub-Saharan Africa,10.87121951219512
Economy,Business Environment,5736,"Automated teller machines (ATMs) (per 100,000 adults)",2012,Guinea,1.23,Lower Middle Income Country (World Bank Classification),16.24612244897959,West Africa,Sub-Saharan Africa,11.59731707317073
Economy,Business Environment,5736,"Automated teller machines (ATMs) (per 100,000 adults)",2013,Guinea,1.5,Lower Middle Income Country (World Bank Classification),18.24938775510204,West Africa,Sub-Saharan Africa,13.30794871794872
Economy,Business Environment,5736,"Automated teller machines (ATMs) (per 100,000 adults)",2014,Guinea,1.87,Lower Middle Income Country (World Bank Classification),18.42452830188679,West Africa,Sub-Saharan Africa,13.23348837209302
Economy,Business Environment,5736,"Automated teller machines (ATMs) (per 100,000 adults)",2015,Guinea,2.29,Lower Middle Income Country (World Bank Classification),20.0644230769230769230769,West Africa,Sub-Saharan Africa,13.81488372093023
Economy,Business Environment,5736,"Automated teller machines (ATMs) (per 100,000 adults)",2016,Guinea,2.46,Lower Middle Income Country (World Bank Classification),21.5772549019607843137255,West Africa,Sub-Saharan Africa,14.43046511627907
Economy,Business Environment,5736,"Automated teller machines (ATMs) (per 100,000 adults)",2017,Guinea,2.45,Lower Middle Income Country (World Bank Classification),23.2136,West Africa,Sub-Saharan Africa,15.45365853658537
